<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
AUDUSD,20010103,00:00:00,0.5617,0.5547,0.5652,0.5571
AUDUSD,20010104,00:00:00,0.5571,0.5554,0.5672,0.5671
AUDUSD,20010105,00:00:00,0.5671,0.5669,0.5721,0.5714
AUDUSD,20010108,00:00:00,0.5711,0.5655,0.5721,0.5673
AUDUSD,20010109,00:00:00,0.5673,0.5593,0.5686,0.5630
AUDUSD,20010110,00:00:00,0.5630,0.5525,0.5632,0.5538
AUDUSD,20010111,00:00:00,0.5540,0.5529,0.5622,0.5608
AUDUSD,20010112,00:00:00,0.5608,0.5548,0.5624,0.5563
AUDUSD,20010115,00:00:00,0.5566,0.5502,0.5567,0.5547
AUDUSD,20010116,00:00:00,0.5550,0.5536,0.5582,0.5547
AUDUSD,20010117,00:00:00,0.5547,0.5494,0.5565,0.5527
AUDUSD,20010118,00:00:00,0.5527,0.5520,0.5589,0.5586
AUDUSD,20010119,00:00:00,0.5587,0.5557,0.5624,0.5561
AUDUSD,20010122,00:00:00,0.5552,0.5520,0.5572,0.5551
AUDUSD,20010123,00:00:00,0.5552,0.5509,0.5575,0.5512
AUDUSD,20010124,00:00:00,0.5513,0.5421,0.5546,0.5440
AUDUSD,20010125,00:00:00,0.5440,0.5416,0.5465,0.5461
AUDUSD,20010126,00:00:00,0.5461,0.5415,0.5463,0.5443
AUDUSD,20010129,00:00:00,0.5431,0.5417,0.5450,0.5436
AUDUSD,20010130,00:00:00,0.5436,0.5409,0.5488,0.5468
AUDUSD,20010131,00:00:00,0.5468,0.5446,0.5515,0.5498
AUDUSD,20010201,00:00:00,0.5498,0.5495,0.5555,0.5524
AUDUSD,20010202,00:00:00,0.5524,0.5509,0.5562,0.5522
AUDUSD,20010205,00:00:00,0.5503,0.5492,0.5530,0.5500
AUDUSD,20010206,00:00:00,0.5499,0.5473,0.5511,0.5500
AUDUSD,20010207,00:00:00,0.5500,0.5445,0.5506,0.5452
AUDUSD,20010208,00:00:00,0.5458,0.5335,0.5460,0.5365
AUDUSD,20010209,00:00:00,0.5364,0.5323,0.5381,0.5364
AUDUSD,20010212,00:00:00,0.5372,0.5354,0.5394,0.5390
AUDUSD,20010213,00:00:00,0.5391,0.5326,0.5397,0.5327
AUDUSD,20010214,00:00:00,0.5327,0.5263,0.5327,0.5268
AUDUSD,20010215,00:00:00,0.5267,0.5231,0.5274,0.5241
AUDUSD,20010216,00:00:00,0.5241,0.5239,0.5311,0.5283
AUDUSD,20010219,00:00:00,0.5289,0.5268,0.5306,0.5297
AUDUSD,20010220,00:00:00,0.5299,0.5212,0.5308,0.5240
AUDUSD,20010221,00:00:00,0.5240,0.5223,0.5281,0.5244
AUDUSD,20010222,00:00:00,0.5243,0.5206,0.5264,0.5237
AUDUSD,20010223,00:00:00,0.5237,0.5208,0.5263,0.5256
AUDUSD,20010226,00:00:00,0.5265,0.5210,0.5273,0.5221
AUDUSD,20010227,00:00:00,0.5221,0.5211,0.5260,0.5254
AUDUSD,20010228,00:00:00,0.5253,0.5223,0.5270,0.5258
AUDUSD,20010301,00:00:00,0.5259,0.5252,0.5289,0.5277
