<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
GBPUSD,20010103,00:00:00,1.5021,1.4883,1.5094,1.4898
GBPUSD,20010104,00:00:00,1.4897,1.4882,1.5037,1.5020
GBPUSD,20010105,00:00:00,1.5020,1.4952,1.5074,1.5016
GBPUSD,20010108,00:00:00,1.5035,1.4931,1.5104,1.4964
GBPUSD,20010109,00:00:00,1.4964,1.4873,1.4978,1.4887
GBPUSD,20010110,00:00:00,1.4887,1.4856,1.4943,1.4866
GBPUSD,20010111,00:00:00,1.4866,1.4862,1.5009,1.4972
GBPUSD,20010112,00:00:00,1.4972,1.4756,1.5027,1.4775
GBPUSD,20010115,00:00:00,1.4783,1.4710,1.4800,1.4768
GBPUSD,20010116,00:00:00,1.4768,1.4665,1.4786,1.4722
GBPUSD,20010117,00:00:00,1.4723,1.4688,1.4756,1.4736
GBPUSD,20010118,00:00:00,1.4736,1.4689,1.4766,1.4722
GBPUSD,20010119,00:00:00,1.4722,1.4630,1.4763,1.4635
GBPUSD,20010122,00:00:00,1.4634,1.4514,1.4664,1.4657
GBPUSD,20010123,00:00:00,1.4657,1.4641,1.4736,1.4670
GBPUSD,20010124,00:00:00,1.4670,1.4524,1.4681,1.4549
GBPUSD,20010125,00:00:00,1.4549,1.4465,1.4627,1.4598
GBPUSD,20010126,00:00:00,1.4598,1.4558,1.4686,1.4614
GBPUSD,20010129,00:00:00,1.4611,1.4560,1.4641,1.4585
GBPUSD,20010130,00:00:00,1.4585,1.4554,1.4633,1.4622
GBPUSD,20010131,00:00:00,1.4621,1.4575,1.4645,1.4640
GBPUSD,20010201,00:00:00,1.4640,1.4632,1.4826,1.4774
GBPUSD,20010202,00:00:00,1.4773,1.4648,1.4831,1.4689
GBPUSD,20010205,00:00:00,1.4686,1.4680,1.4778,1.4743
GBPUSD,20010206,00:00:00,1.4743,1.4572,1.4744,1.4596
GBPUSD,20010207,00:00:00,1.4596,1.4501,1.4642,1.4531
GBPUSD,20010208,00:00:00,1.4531,1.4416,1.4545,1.4447
GBPUSD,20010209,00:00:00,1.4447,1.4370,1.4496,1.4440
GBPUSD,20010212,00:00:00,1.4451,1.4444,1.4552,1.4535
GBPUSD,20010213,00:00:00,1.4535,1.4479,1.4575,1.4516
GBPUSD,20010214,00:00:00,1.4516,1.4510,1.4609,1.4545
GBPUSD,20010215,00:00:00,1.4545,1.4451,1.4603,1.4487
GBPUSD,20010216,00:00:00,1.4489,1.4464,1.4572,1.4480
GBPUSD,20010219,00:00:00,1.4472,1.4427,1.4545,1.4471
GBPUSD,20010220,00:00:00,1.4471,1.4312,1.4479,1.4462
GBPUSD,20010221,00:00:00,1.4460,1.4376,1.4474,1.4429
GBPUSD,20010222,00:00:00,1.4429,1.4390,1.4516,1.4447
GBPUSD,20010223,00:00:00,1.4447,1.4420,1.4555,1.4529
GBPUSD,20010226,00:00:00,1.4534,1.4403,1.4565,1.4438
GBPUSD,20010227,00:00:00,1.4438,1.4390,1.4473,1.4439
GBPUSD,20010228,00:00:00,1.4439,1.4396,1.4498,1.4450
GBPUSD,20010301,00:00:00,1.4449,1.4445,1.4577,1.4549
GBPUSD,20010302,00:00:00,1.4549,1.4538,1.4757,1.4720
GBPUSD,20010305,00:00:00,1.4694,1.4659,1.4727,1.4668
GBPUSD,20010306,00:00:00,1.4668,1.4634,1.4684,1.4676
GBPUSD,20010307,00:00:00,1.4676,1.4574,1.4721,1.4610
